[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:52325 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:64937 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:57705 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:52649 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:64840 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:49182 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:62601 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:56586 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:54614 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:62109 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:54681 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:63333 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:64679 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:51463 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:54317 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:49536 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:62038 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:65310 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:50926 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:63509 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:58182 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:54648 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:61888 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:63298 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:50586 | 
